pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
681,29.2,6.5,0.301,0.282,35.1,8.8,34.9,78.08731436,93.203429953,27.3,47.6
837,24.0,6.0,0.279,0.288,29.9,6.1,39.4,75.365831333,93.983632175,27.3,53.3
180,11.7,13.3,0.367,0.369,30.3,7.6,39.4,80.484229545,94.59019447,17.7,44.8
205,19.5,11.7,0.29,0.321,29.7,7.2,33.3,76.464163088,93.302320667,26.1,42.5
647,22.3,6.6,0.315,0.309,32.2,7.0,37.9,76.962361681,93.440164856,22.3,46.9
255,29.8,8.2,0.264,0.292,35.7,6.4,35.0,76.811349737,93.55656,31.3,49.6
821,27.0,5.8,0.256,0.289,33.7,7.6,39.2,78.703162612,93.996080634,26.0,50.1
809,20.9,8.0,0.349,0.338,36.3,7.6,38.3,77.750217553,94.030077252,24.7,48.7
227,15.9,7.9,0.332,0.364,33.3,7.0,46.2,79.301393095,94.878066607,19.3,44.5
237,27.0,3.8,0.277,0.269,32.5,9.2,37.4,77.629034198,93.900452981,25.5,52.2
526,31.4,13.3,0.312,0.309,36.4,8.7,41.6,79.482970426,94.496902057,32.0,43.0
775,29.3,6.5,0.265,0.29,30.6,7.1,40.9,77.914911777,94.447687867,31.3,52.4
646,22.8,8.4,0.339,0.329,36.2,7.6,41.3,78.589671843,94.550554573,27.3,46.4
163,17.2,6.1,0.408,0.35,38.7,7.3,43.5,79.702032581,94.926591774,19.6,51.3
599,25.0,5.7,0.303,0.288,30.6,5.1,37.9,79.700303756,93.83353198,27.0,49.4
809,21.5,8.7,0.286,0.283,24.7,3.8,30.5,76.668594502,92.848051624,22.7,47.1
817,39.9,5.9,0.246,0.237,33.2,5.9,35.5,76.678804977,93.320113158,37.2,49.9
646,20.3,5.7,0.325,0.333,33.1,7.0,43.4,78.162474979,94.959257569,21.7,44.9
701,18.7,9.4,0.354,0.351,31.3,9.0,36.5,79.393863443,94.36229232,22.6,45.3
581,17.4,8.1,0.319,0.337,33.9,8.1,38.7,79.324354233,94.108334569,21.9,44.9
831,19.7,4.7,0.304,0.308,33.2,4.2,32.9,76.514312824,93.19115396,19.1,50.0
656,19.4,8.7,0.289,0.281,27.8,3.0,26.7,76.786797339,92.51169695,25.1,44.7
739,23.5,9.2,0.31,0.317,32.5,6.7,35.7,76.800647833,93.572409186,24.0,44.6
